name_as_written;latitude;longitude;icon
Montauban;44.02212519999999;1.3529598999999734;none
Nanterre;48.892423;2.215330999999992;none
Flanders;51.05434220000001;3.717424299999948;none
Italy;44.36313311380771;10.986768007278442;none
Provence;44.0144936;6.211643800000047;none
Brest;48.376549;-4.501305;none
Quebec city;46.8138783;-71.2079809;none
Howe Island;44.2588661;-76.31357730000002;none
Longuiel Quebec ;45.5369442;-73.51071309999997;none
Saint Anne River ;46.5567349;-72.20863700000001;none
Montreal ;45.5074534;-73.55441769999999;none
Pointe-aux-tremble ;45.64166649999999;-73.50040130000002;none
Boucherville quebec ;45.5913698;-73.43640970000001;none
Niagara Falls ;43.0962143;-79.0377388;none
pointe saint charles montreal ;45.48027279999999;-73.55874;none
Schuyler Island ;43.0999375;-73.5743668;none
Longuiel Quebec ;45.5369442;-73.51071309999997;none
Fort Chambly ;45.449309;-73.27680399999997;none
saint-jean-sur-richelieu ;45.30577099999999;-73.25449029999998;none
Fort Ticonderoga ;39.7691635;-79.54573110000001;none
La Prairie ;45.4159003;-73.48300210000002;none
Quebec city ;46.8138783;-71.2079809;none
Trois-riviere ;46.3546803;-72.5837866;none
Montreal;45.5074534;-73.55441769999999;none
Points-aux trembles;45.64166649999999;-73.50040130000002;none
battlefield park in quebec city;46.8015014;-71.21739680000002;none
La Rochelle ;46.160329;-1.1511390000000574;none
Bordeaux ;44.837789;-0.5791799999999512;none
basse-terre, Guadeloupe ;16.1296293;-61.653805199999965;none
Martinique ;14.641528;-61.024174000000016;none
Saint-Domingue;18.594395;-72.30743259999997;none
Corsica ;42.169104; 8.481665;none
Paris ;48.85661400000001;2.3522219000000177;none
Quiberon (France) ;47.50767349999999;-3.0144328000000087;none
Cadix, Spain ;36.438961;-6.37163;none
port-louis ;-20.1608912;57.50122220000003;none
reduit ;-20.2313659;57.4895997999999;none
