name_as_written;latitude;longitude;icon
Caen ;49.182863;-0.37067899999999554;none
Cherbourg ;49.63373079999999;-1.622137000000066;none
Caen ;49.182863;-0.37067899999999554;none
Camp de Meaux ;48.767453;7.2586129999999684;none
Colombes ;48.92206150000001;2.2533313000000134;none
Camp de Phalsbourg ;48.767453;7.2586129999999684;none
Wasselonne (Alsace) ;48.637701;7.444554000000039;none
Mayence (Mainz) ;49.9928617;8.247252600000024;none
Budenheim ;50.0241889;8.172750700000051;none
Mayence (Mainz) ;49.9928617;8.247252600000024;none
Mombach;50.0201939;8.228081599999995;none
La Vendee;46.6613966;-1.4482662000000345;none
La Gravelle;(8 km west of Laval)
forêt de Chanveaux ;47.650205;-1.1574929999999312;none
Frankenthal ;49.5431853;8.351234200000021;none
Port-du-Rhin ;48.53303263583783,7.802528003230691;none
Appenwihr;48.028188;7.439542999999958;none
Rastadt;48.8591174;8.20590960000004;none
Ettlingen;48.943208;8.398017200000026;none
Neresheim;48.7561333;10.32819440000003;none
Biberach;48.0951473;9.790152499999976;none
Emmendingen;48.11709179999999;7.85390469999993;none
Kelh;48.57887249999999;7.816082100000017;none
Sundheim;48.5569417;7.8348263000000315;none
Neustadt;49.35018639999999;8.148688600000014;none
Stockach;47.85316350000001;9.009152800000038;none
Hochstaedt ;49.7095692;10.812835899999981;none
Hohenlinden ;48.1573992;11.996552199999996;none
Brest ;48.376549;-4.501305;none
Pondichery ;13.801001;78.92553199999997;none
Port-Louis ;-20.1608912;57.50122220000003;none
France coast ;46.977254; -3.514745;none
Altafulla;41.1469855;1.3806902000000036;none
Tarragona;41.1188827;1.2444908999999597;none
Ascain, France   43.345172;-1.6213270000000648;none
