name_as_written;latitude;longitude;icon
Angers, France;47.478419;-0.563166000000023
Toulon, France;43.124228;5.927999999999997
Malta;35.937496;14.375415999999973
Le Gô, Albi, France;43.9509339;2.161779900000056
Quiberon Bay;47.50767349999999;-3.0144328000000087
Brest, France;48.376549;-4.501305
Vilaine	Penestin (the town reference point for the mouth of the river);47.502359;-2.500763
Corunna;43.410535;-8.440247
Brest, France;48.376549;-4.501305
Bull bay, Canada;47.306706;-52.799606
Saint John's, Canada;47.5615096;-52.712576799999965
south of island of Ushant;48.382706;-5.110016
La Corunna;43.410535;-8.440247
Brest, France;48.376549;-4.501305
Breton Coast point 1;47.163575;-2.400513
Breton coast point 2;48.451066;-4.855957
Breton Coast Point 3;48.91528;-1.867676
Vresailles, France;48.801408;2.1301220000000285
Brest, France;48.376549;-4.501305
Lorient, france;47.72489;-3.36525
Gorée, Senegal;14.6678596;-17.3989282
False bay, South Africa;-34.210405;18.649114
Port-Louis-Mauritius;-20.1608912;57.50122220000003
Reduit, Mauritius;-20.2313659;57.4895997999999
Lorient, france;47.72489;-3.36525
Port-Louis-Mauritius;-20.1608912;57.50122220000003
Paris, France;48.85661400000001;2.3522219000000177
Narragansett bay;41.62391203214486;-71.35894775390625
Newport, RI, USA;41.4901024;-71.31282850000002
