name_as_written;latitude;longitude;icon
Ireland (County of Kenny).. Milltown;53.3105987;-6.248039299999959;none
Les Anglois (britanny);46.099268;-1.0923780000000533;none
Brandywine Creek, PA;39.7320579;-75.5313104;none
Germantown, PA;40.028521;-75.1749671;none
France (pick a coast);47.72489;-3.36525;none
Cape Town, South Africa;-33.9248685;18.424055299999963;none
Pondichery;11.9139;79.8145;none
Mauritius;-20.1503;57.4934;none
France (pick a coast);47.72489;-3.36525;none
South of France;44.0144936;6.211643800000047;none
Chambery, France;45.56460099999999;5.917780999999991;none
England ;51.482409;0.359912;none
