name_as_written;latitude;longitude;icon
(cut);49.95312;2.56591;
(cut)Lyon;45.7549;4.84243;
(cut)Alfort;48.81411;2.4228;
(cut)Saint-Martin-du-Vieux-Bellême;48.375606;0.550632;
(cut)Alfort;48.81411;2.4228;
(cut)Crespier;48.8809;1.91849;
(cut)Alfort;48.81411;2.4228;
(cut);48.44347;5.13768;
(cut);48.47109;5.33455;
(cut);48.49179;5.33019;
(cut);48.46263;5.30989;
(cut)Alfort;48.81411;2.4228;
(cut);48.68684;-1.36166;
(cut)Alfort;48.81411;2.4228;
(cut)Lorient;47.74825;-3.37024;
;-20.1608912;57.50122220000003;
Porte Saint Denis;-20.874146;55.443624;
Port Louis;-20.1608912;57.50122220000003;
(Quatrebornes);-20.30548;57.48535;
Pamplemousses;-20.1072;57.57929;
